text,label,lang
మీ ప్యాకేజ్ స్థానిక డెలివరీ కేంద్రానికి చేరుకుంది.,0,te
ಪಾರ್ಕ್ ಪ್ರವೇಶ ಚೀಟಿ ಇ-ಮೇಲ್ ಮೂಲಕ ಕಳುಹಿಸಲಾಗಿದೆ.,0,kn
ನಿಮ್ಮ Amazon ಆರ್ಡರ್ #778899 ನಾಳೆ ಡೆಲಿವರಿ ಮಾಡಲಾಗುತ್ತದೆ.,0,kn
ডেলিভারি নোটিফাই: আপনার প্যাকেজ আজ বিকেলে পৌঁছাবে।,0,bn
आपका बिजली मीटर पढ़ लिया गया है; अगला बिल 15 तारीख को उपलब्ध होगा।,0,hi
ট্রান্সঅ্যাকশন রিভার্স করার জন্য আপনার কার্ড নম্বর দিন।,1,bn
"আপনার পণ্য শিপমেন্ট আটকে আছে, ফ্রি রিলজিস্টির জন্য কার্ড ডিটেইল সরবরাহ করুন।",1,bn
"ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಖಾತೆಯ ಶೇಷ ₹8,450.75 ಇದೆ. ಅಧಿಕೃತ ಆಪ್ ಬಳಸಿ ವಿವರ ನೋಡಿ.",0,kn
आपकी क्रेडिट कार्ड सीमा पार हो गई है। क्रेडिट ब्लॉक खोलने के लिए यहाँ क्लिक करें.,1,hi
మీ ఇంటర్నెట్ ప్లాన్ రిన్యూ తేదీ దగ్గరగా ఉంది - యాప్ ద్వారా రీచార్జ్ చేయండి.,0,te
আপনার ব্যাংক অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: http://bank-verify.example,1,bn
ನಿಮ್ಮ ಕಾರ್ಡ್ ದೌರ್ಜನ್ಯದಿಂದ ತಡೆಗಟ್ಟಲಾಗಿದೆ — ಪುನಶ್ಚೇತನಕ್ಕೆ ಡಿಟೇಲ್ಸ್ ನೀಡಿ.,1,kn
"మీరు ఒక సూచన ఇచ్చారు, దయచేసి మీ పిన్‌ను పంచుకోండి.",1,te
உங்கள் பயண டிக்கெட் உறுதி செய்யப்பட்டுள்ளது - தயவு செய்து உங்கள் இந்திய எய்ர்லைன்ஸ் செயலியில் சரிபார்.,0,ta
ನಿಮ್ಮ ಗ್ರಾಂಟ್ ಅನುಮೋದಿತವಾಗಿದೆ — ಡೀಟೈಲ್ಸ್ ಅಧಿಕೃತ ಸಚಿವಾಲಯದಲ್ಲಿ ಲಭ್ಯ.,0,kn
எலெக்ட்ரிக் கட்டணம் கிடைத்தது - புகார் இல்லை.,0,ta
உங்கள் போன்லைன் பயன்பாடு 70% வரை சென்றுள்ளது. திட்டத்தை மேம்படுத்த பயன்பாட்டைப் பயன்படுத்தவும்.,0,ta
தப்பித்துக் கொள்ள வேண்டிய செய்தி: உங்கள் பேக்கேஜ் கட்டணம் இல்லை. கார்டு விவரம் கொடுக்கவும்.,1,ta
அடிக்கடி நோய்வியலருடன் உங்கள் அப்பாயின்ட்மெண்ட் உறுதி செய்யப்பட்டுள்ளது.,0,ta
మీ వైద్య నివేదిక అప్లోడైంది - ఆసుపత్రి పోర్టల్ ను చెక్ చేయండి.,0,te
ನಿಮ್ಮ ಆಧಾರ್ ಹಣಕಾಸು ಅಪ್ಡೇಟ್ ಅಗತ್ಯವಿದೆ. ಪರಿಶೀಲನೆ ಮಾಗಿಸಲು ಲಿಂಕ್ ಬಳಸಿ.,1,kn
आपका बैंक खाता अस्थायी तौर पर ब्लॉक कर दिया गया है। इसे खोलने के लिए यहाँ क्लिक करें: http://sbi-verify-login.in,1,hi
অত‍্যন্ত জরুরি: আপনার OTP ভাগ করে দিন যাতে আমরা আপনার অ্যাকাউন্ট যাচাই করতে পারি।,1,bn
আপনার ইভেন্ট টিকিট ইমেইলে পাঠানো হয়েছে।,0,bn
आपके पोस्टल डाक के लिए शुल्‍क बाकी है। भुगतान करने के लिए लिंक: http://post-charge.example,1,hi
உங்கள் வங்கி கணக்கு தற்காலிகமாக முடக்கப்பட்டுள்ளது. மீள திறக்க இங்கே கிளிக் செய்: http://bank-verify.example,1,ta
பள்ளி பெற்றோர் சந்திப்பு செப்டம்பர் 5 அன்று காலை 9 மணிக்கு நடைபெறும்.,0,ta
आपका सावर्जनिक लाइब्रेरी कार्ड नवीनीकृत हो चुका है।,0,hi
మీ ఖాతా ప్రకటన ముద్రితంగా ఉంది.,0,te
আপনার ফোন থেকে সন্দেহজনক কার্যকলাপ পাওয়া গেছে — পাসওয়ার্ড দিন।,1,bn
మీ టెలిఫోన్ సేవ నిలిచేదు - రీక్టివ్ చేయడానికి క్రెడెంట్ పంచుకోండి.,1,te
ನಿಮ್ಮ ಬ್ಯಾಕ್ ಅಪ್ ಸಿದ್ಧವಾಗಿದೆ — ಅಪ್ಲಿಕೇಶನ್‌ನಲ್ಲಿ ಪರಿಶೀಲಿಸಿ.,0,kn
நிகழ்வு நிர்வாகம் உங்கள் பதிவு பெறப்பட்டுள்ளது.,0,ta
आपके बैंक खाते में अनपेक्षित जमा पाया गया। जमा रोकने हेतु क्रेडेंशियल्स दें।,1,hi
आपके नाम पर नया ऋण जारी हुआ। यदि आपने नहीं लिया तो खाता सत्यापित करने हेतु लिंक पर जाएँ.,1,hi
অফিসিয়াল নোটিফিকেশন: আপনার অর্থ ফেরত পেতে ব্যাঙ্কিং তথ্য দিন।,1,bn
మీ ఇన్స్యూరెన్స్ పేమెంట్ విజయవంతంగా జరిగింది.,0,te
আপনি তালিকাভুক্ত হয়েছেন—সিই লক্ষণের জন্য এখনি যৌথ করুন।,1,bn
ನಿಮ್ಮ ಆಸ್ಪತ್ರೆಯ ರಿಪೋರ್ಟ್ ಬೆಂಗಳೂರಿಗೆ ಲಭ್ಯವಾಗಿದೆ — ಪೋರ್ಟಲ್‌ನಲ್ಲಿ ಪರಿಶೀಲಿಸಿ.,0,kn
UPI பணபரிவர்த்தனை தோல்வி. பணத்தை மீண்டும் பெற உங்கள் கார்டு விபரம் அனுப்பவும்.,1,ta
"আপনি একটি বড় পুরস্কার জিতেছেন, দাবি করতে আপনার যোগ্যতা সেন্ড করুন এবং OTP ভাগ করুন।",1,bn
ನಿಮ್ಮ ಪ್ಯಾನ್ ಅಪ್‌ಡೇಟ್ ವಿಫಲವಾಗಿದೆ. ತಕ್ಷಣ ಅಂತರ್ಜಾಲದ ಲಿಂಕ್‌ನಲ್ಲಿ ಅಪ್‌ಡೇಟ್ ಮಾಡಿ.,1,kn
உங்கள் மின் பில் ₹750 உள்ளது. அதிகாரப்பூர்வ பக்கத்தில் செலுத்தவும்.,0,ta
ಸೆರ್ವಿಸ್ ನೋಟಿಸ್: ಕಾರ್ಯಕ್ರಮ ದಾಖಲೆ ಯಶಸ್ವಿಯಾಗಿ ಭರ್ತಿ ಮಾಡಲಾಗಿದೆ.,0,kn
ನಿಮ್ಮ ಇನ್‌ಶುರೆನ್ಸ್ ಕ್ಲೈಮ್ ಜಿ-ಚೆಕ್‌ಗಾಗಿ PAN ಕಾಪಿ ಕಳುಹಿಸಿ.,1,kn
আপনার অ্যাকাউন্ট সুরক্ষিত আছে — কোনো কাজের প্রয়োজন নেই।,0,bn
தவறான செயல்பாடு கண்டறியப்பட்டது. கணக்கை நாங்கள் தற்காலிகமாக முடக்கியுள்ளோம்; மீட்டெடுக்க OTP அளிக்கவும்.,1,ta
பயன்பாட்டின் அடிப்படை செயல்பாடுகள் முழுமையாக இயங்குகின்றன.,0,ta
பதிவேற்பு வெற்றிகரமாக முடிந்தது - நீங்கள் இப்போது நுழையலாம்.,0,ta
మీరు రీడెమ్ప్షన్ క్లైమ్ చేసేందుకు ID పంపడం అవసరం.,1,te
మీరు బస్ బుక్కింగ్ కన్ఫర్మ్ చేసుకున్నారు - టికెట్ 04-09-2025.,0,te
ई-पत्रिका सदस्यता नवीनीकरण सफल रहा। धन्यवाद।,0,hi
"आपका ईमेल kompromised है, तत्काल पासवर्ड बदलने हेतु OTP साझा करें।",1,hi
"మీ బ్యాంక్ ఖాతాలో నిల్వ ₹12,500.00 ఉంది. అధికారిక యాప్ ద్వారా చూసుకోండి.",0,te
UPI ట్రాన్సాక్షన్ విఫలమైంది. రెఫండ్ పొందడానికి బ్యాంకు మేల్కొ చూడండి.,1,te
তাত্ক্ষণিক: আপনার সেবা বন্ধ হবে যদি এখনি তথ্য না দেন।,1,bn
"ನಿಮ್ಮ ವಿದ್ಯುತ್ ಬಿಲ್ ₹1,200. ದಯವಿಟ್ಟು ಅಧಿಕೃತ BESCOM ಪೋರ್ಟಲ್ ಮೂಲಕ ಪಾವತಿ ಮಾಡಿ.",0,kn
அங்கீகாரம் தவறானதாக உள்ளது - தங்கள் id ஐ அப்டேட் செய்ய இங்கே உள்நுழையவும்.,1,ta
మీ బిల్ రుసీదులు పూర్తి చేయబడ్డాయి.,0,te
"உங்கள் பாங்க் சேமிப்பு இருப்பு ₹25,000.00 உள்ளது. அவசியமில்லை என்றால் எந்த தகவலையும் பகிர வேண்டாம்.",0,ta
మీ మేము ఇచ్చిన సేవకు ఫీడ్‌బ్యాక్ కృతజ్ఞతలు.,0,te
ನಿಮ್ಮ ಮೆಡಿಕಲ್ ಎಪಾಯಿಂಟ್ಮೆಂಟ್ 10 ಸೆಪ್ಟೆಂಬರ್ ರಂದು ಬೆಳಿಗ್ಗೆ 11ಕ್ಕೆ ಕನ್ಫರ್ಮ್ ಆಗಿದೆ.,0,kn
आपके मोबाइल नंबर पर 2% कैशबैक लौटा गया है। विवरण अपने बैंक ऐप में देखें।,0,hi
"মেডিকেল রিপোর্ট আপলোড হয়েছে, হাসপাতালের পোর্টালে চেক করুন।",0,bn
பயன்பாட்டில் புதிய பாதுகாப்பு அம்சம் இயங்கியுள்ளதாக உங்களுக்கு அறிவிப்பானது.,0,ta
ಕೋರ್ಸ್ ಫೀಸ್ ರೀಮೈಂಡರ್: ಪಾವತಿಗಾಗಿ ನಿಮ್ಮ UPI ಪಿನ್ ನಮೂದಿಸಿ.,1,kn
আপনি ভুয়ো সার্ভে থেকে জিতেছেন — দাবি করতে OTP শেয়ার করুন।,1,bn
आपका GST रिफंड लंबित है। रिफंड प्राप्त करने हेतु यहाँ लॉगिन करें: http://gst-refund.example,1,hi
आपके पास 2 नए संदेश हैं। कृपया आधिकारिक ऐप खोलकर जाँच करें।,0,hi
"আপনার বিদ্যুত বিল ₹620, অনুগ্রহ করে অফিসিয়াল পোর্টালে পরিশোধ করুন।",0,bn
பயன்பாட்டு கட்டணம் திரும்ப பெற - உங்கள் கணக்கு விவரம் தேவையுள்ளது.,1,ta
கடைசியாக உங்களிடம் தவறான செயல்பாடு ஏற்பட்டுள்ளது. ஆதரவு குழுவிற்கு அழைக்கவும் மற்றும் PAN அனுப்பு.,1,ta
మీ ఇమెయిల్ సెక్యూరిటీ బ్రోచర్ ఉంది - పాస్‌వర్డ్ ఇవ్వండి.,1,te
మీ మొబైల్ రీస్ట్రిక్షన్ దాఖలత. అకౌంట్ ఖాతా వివరాలు పంపండి.,1,te
ধন্যবাদ — আপনার মতামত গ্রহণ করা হয়েছে।,0,bn
మీరు ఒక పెద్ద రాశి గెలుచుకున్నారు: పంపడానికి రిజిస్టర్ చేయండి మరియు OTP పంపండి.,1,te
বেটিং জেতার বিজ্ঞপ্তি — টাকা পেতে ব্যাঙ্ক ডিটেইল শেয়ার করুন।,1,bn
మీ బ్యాంక్ ఖాతా తాత్కాలికంగా బ్లాక్ చేయబడింది. పునఃప్రారంభించడానికి ఇక్కడ క్లిక్ చేయండి: http://bank-verify.example,1,te
आपका इन्श्योरेन्स पॉलिसी प्रीमियम सफलतापूर्वक जमा हुआ।,0,hi
"ನೀವು ₹5,000 ದನ್‌ವೆ ಗೆದ್ದಿದ್ದೀರಿ, ಪ್ರಶಸ್ತಿಯನ್ನು ಪಡೆಯಲು ವಿವರಗಳನ್ನು ನೀಡಿ.",1,kn
"আপনার ইমেল কম্প্রমাইজ হয়েছে, রিকোভারির জন্য পাসওয়ার্ড দিন।",1,bn
"మీరు ఏదైనా అనుమానం ఉంటే, క్రెడెన్షియల్స్ షేర్ చేయండి.",1,te
సర్వీస్ నోటిఫికేషన్: అప్డేట్ లభించింది.,0,te
మీ సులభ వితరణ కోసం టోకెన్ పంచుకోండి.,1,te
మీ అకౌంట్‌లో అనుమానాస్పద చలనం ఉంది. ఖాతాను రక్షించడానికి OTP పంపండి.,1,te
आपकी Flipkart ऑर्डर #12345 कल वितरित की जाएगी — ऐप में ट्रैक करें।,0,hi
"அவசரம்: உங்கள் OTPஐ இங்கே பகிரவும், கணக்கை உறுதிப்படுத்த வேண்டும்.",1,ta
ವಿಮಾನ ಟಿಕೆಟ್ ಸ್ವೀಕರಿಸಲಾಗಿದೆ — ದಯವಿಟ್ಟು ಇ-ಟಿಕೇಟನ್ನು ಪ್ರಿಂಟ್ ಮಾಡಿ.,0,kn
कृपया तुरंत अपने नेट बैंकिंग क्रेडेंशियल्स सत्यापित करें: http://bank-secure-login.example,1,hi
நீங்கள் பரிசு வென்றுள்ளீர்கள்! பரிசை பெற உங்கள் PAN மற்றும் வங்கி விவரங்கள் அனுப்பவும்.,1,ta
"আপনার আধার যাচাই ব্যর্থ হয়েছে, একাউন্ট সক্রিয় করতে PAN পাঠান।",1,bn
தொடர்பு தேவையெனில் ஆதரவு மையத்தை அணுகவும்.,0,ta
இங்கே சலுகை! 50000 ரூபாய் பரிசு. OTP வைத்திருப்பின் உடனே பகிரவும்.,1,ta
ನಿಮ್ಮ ಇನ್ಷೂರನ್ಸ್ پෑಯ್‌ಮೆಂಟ್ ಯಶಸ್ವೀ ಆಯಿತು.,0,kn
ಸಿಸ್ಟಮ್ ರಿವರ್ಸ್: ಪಾವತಿ ವಾಪಸಿಗೆ ಖಾತೆ ವಿವರ ಬೇಕು.,1,kn
அதிகரிக்கப்பட்ட கட்டணம். திரும்பப்பெற கணக்கு விபரங்களை வழங்கவும்.,1,ta
திரைக்காட்சி சரிபார்ப்பு செய்ய OTP அளிக்கவும்.,1,ta
ಓಟಿ: ನಿಮ್ಮ ಖಾತೆ ಖಚಿತಪಡಿಸಲು OTPನ್ನು ಹಂಚಿಕೊಳ್ಳಿ.,1,kn
பிணைக்கப்பட்ட கோப்புகள் அடையாளப்படுத்தப்பட்டன - நீக்கு அல்லது உள்நுழைய உங்கள் கடவுச்சொல்லை பகிரவும்.,1,ta
உங்கள் சந்தா புதுப்பிப்பு வெற்றிகரமாக ஆனது.,0,ta
নিরাপত্তা টিপ: অফিসিয়াল সাইট ছাড়া লিঙ্কে ক্লিক করবেন না।,0,bn
మీరు విజయవంతంగా సబ్‌స్క్రైబ్ అయ్యారు.,0,te
टाटा स्काई: आपका प्लान 3 दिनों में रिन्यू होगा। अपग्रेड के लिए ऐप खोलें।,0,hi
"আপনার অ্যাকাউন্ট ব্যালান্স ₹5,432.00। বিস্তারিত দেখতে ব্যাঙ্ক অ্যাপে লগইন করুন।",0,bn
ట్రిప్ కన్ఫర్మేషన్: మీ బండి 05 సెప్టెంబర్ 07:00 AMకి బయలుదేరుతుంది.,0,te
ಬಿಲ್ ಪಾವತಿ ಅಪ್ಡೇಟ್: ನಿಮ್ಮ ಬಾಕಿ ಶೇ. 0.00 ಆಗಿದೆ.,0,kn
ತ್ವರಿತ: ನಿಮ್ಮ ಕ್ರೆಡಿಟ್ ಲಿಮಿಟ್ ನಿಲ್ಲಿಸಲಾಗಿದೆ — ಪರಿಶೀಲನೆಗೆ ಡೀಟೈಲ್ಸ್ ಕಳುಹಿಸಿ.,1,kn
బిల్ చెల్లింపు అభ్యర్థన విజయవంతమైంది.,0,te
डिलीवरी में समस्या: भुगतान पुष्टि के लिए कार्ड नंबर साझा करें।,1,hi
ತಕ್ಷಣ ಕಳುಹಿಸಿ: ನಿಮ್ಮ IFSC ಮತ್ತು ಬ್ಯಾಂಕ್ ಖಾತೆ ವಿವರ.,1,kn
உங்கள் Aadhaar செக் தோல்வி. சரிபார்க்க PAN அனுப்பவும்.,1,ta
ನೀವು ಆನ್‌ಲೈನ್ ತರಗತಿ ಗೆಾದಿಸಿದ್ದೀರಿ — ನೋಂದಣಿ ದಾಖಲಾಗಿದೆ.,0,kn
మీ ఫ్లిప్‌కార్ట్ ఆర్డర్ #5566 రేపు డెలివరీ చేయబడుతుంది.,0,te
"प्रिय ग्राहक, आपका ICICI बचत खाता शेष राशि ₹12,340.50 है। धन्यवाद।",0,hi
பணம் வரவிற்கு உங்கள் வங்கி விவரங்களை உடனே பகிரவும்.,1,ta
आपकी नियुक्ति पुष्टि हो गई है — डॉक्टर के पास 9 बजे मार्गदर्शित करें।,0,hi
మీరు పేమెంట్ పంపకపోవడం వల్ల మీ అకౌంట్ బ్లాక్ అవుతుంది - ఇక్కడ ఇచ్చే లింకులో క్లిక్ చేయండి.,1,te
நகல் பேஸ்டு: உங்கள் தகவல்கள் இடைமறியமில்லை என்பதை சரிபார்.,0,ta
आपके मोबाइल बैंकिंग में अनधिकृत प्रयास हुआ। खाते को सुरक्षित करने के लिए पिन भेजें।,1,hi
ನಿಮ್ಮ ಪಠ್ಯಪുസ്തಕ ಆರ್ಡರ್ ಪ್ರಕ್ರಿಯೆಯಲ್ಲಿ உள்ளது — ಟ್ರ್ಯಾಕ್ ಅಪ್ಲಿಕೇಶನ್ ನಲ್ಲಿದಿದೆ.,0,kn
"பண பரிசு வென்றுள்ளது - பரிசை பெற, உங்கள் ID மற்றும் பயனாளர் விவரங்கள் அனுப்பவும்.",1,ta
உங்கள் அக்கவுண்டில் சந்தேக தொகு உள்ளது. கணக்கை மீட்டெடுக்க பின்வரும் இணைப்பில் செல்லவும்.,1,ta
आपका बैंक स्टेटमेंट उपलब्ध है। कृपया आधिकारिक बैंक ऐप में देखें।,0,hi
சமீபத்தில் பாஸ்வேர்ட் மாற்றம் கண்டறியப்பட்டது. அதை திருத்த OTP அனுப்பவும்.,1,ta
স্কুলের অভিভাবক-শিক্ষক মিটিং ৫ সেপ্টেম্বর সকাল ১০টায়।,0,bn
নোটিফিকেশন: আপনার অ্যাকাউন্টে নতুন লেনদেন হয়েছে। বিস্তারিত দেখুন।,0,bn
மொபைல் எண்ணை புதுப்பிக்க இங்கே கிளிக் செய்க: http://tel-update.example,1,ta
আপনার আমাজন অর্ডার #9988 আগামীকাল ডেলিভারি হবে। অ্যাপে ট্র্যাক করুন।,0,bn
धन्यवाद — आपकी शिकायत को सफलतापूर्वक दर्ज किया गया है।,0,hi
ক্লেইম করতে আপনার IFSC এবং অ্যাকাউন্ট নম্বর দিন।,1,bn
கடவுச்சொல்லைமாற்ற OTPஐ உடனே பகிரவும்.,1,ta
ট্রেন টিকিট নিশ্চিত করা হয়েছে — 06-09-2025।,0,bn
ನಿಮ್ಮ ಬ್ಯಾಂಕ್ ಖಾತೆಯನ್ನು ತಾತ್ಕಾಲಿಕವಾಗಿ ಬ್ಲಾಕ್ ಮಾಡಲಾಗಿದೆ. ಪುನಃಸಕ್ರಿಯಗೊಳಿಸಲು ಇಲ್ಲಿ ಕ್ಲಿಕ್ ಮಾಡಿ: http://bank-verify.example,1,kn
अत्यावश्यक: आपके PAN में अनियमितता मिली है। सत्यापित करने के लिए OTP भेजें।,1,hi
ರಿಜಿಸ್ಟ್ರೇಶನ್ ದೃಢೀಕರಿಸಲಾಗಿದೆ. ಹೆಚ್ಚಿನ ಮಾಹಿತಿಗಾಗಿ ಅಧಿಕೃತ ಪೋರ್ಟಲ್ ಬಳಸಿ.,0,kn
మీ అకౌంట్ లోగిన్ విజయవంతంగా జరిగింది.,0,te
உங்கள் நோக்கங்களுக்கு தேவையான தகவல் பொது இணையதளத்தில் உள்ளது.,0,ta
ಡಿಲಿವರಿ ಶುಲ್ಕ ತಡೆಯಲು ವೇದಿಕೆ ಸಂಪರ್ಕಿಸಿ ಮತ್ತು ಕಾರ್ಡ್ ವಿವರ ನೀಡಿ.,1,kn
மருத்துவ அறிக்கை பதிவேற்றப்பட்டுள்ளது - பிரிவு இணையதளத்தில் பதிவு வாங்கவும்.,0,ta
আপনি সফলভাবে রেজিস্টার করেছেন।,0,bn
আপনার মোবাইল নম্বর আপডেট না হলে পরিষেবা বন্ধ করা হবে — এখানে ক্লিক করুন।,1,bn
ನಿಮ್ಮ ದೂರವಾಣಿ ಸಂಪರ್ಕವನ್ನು ನವೀಕರಿಸಲು ಇಲ್ಲಿ ಕ್ಲಿಕ್ ಮಾಡಿ: http://tel-update.example,1,kn
డాక్టర్ అపాయింట్మెంట్ 10:30 AMకు నిర్ధారించబడింది.,0,te
আপনার রিকোয়েস্ট প্রক্রিয়াধীন।,0,bn
మీ నమోదు విజయవంతంగా పూర్తి అయింది.,0,te
పేమెంట్ రివర్స్ చేయడానికి మీ కార్డ్ వివరాలు పంపండి.,1,te
ನಿಮ್ಮ ಫೋನ್‌ನಲ್ಲಿ ಹೊಸ ಸೇವಾ ಐಡಿಯಾ ಸಕ್ರಿಯವಾಗಿದೆ. ರದ್ದುಗೊಳಿಸಲು ಖಾತೆಹಂಚಿಕೊಳ್ಳಿ.,1,kn
ಬ್ಯಾಂಕ್ ಸುರಕ್ಷತೆ ಸಮಸ್ಯೆ. ಲಾಗಿನ್ ಮಾಡಿ ಮತ್ತು OTP ನಮೂದಿಸಿ.,1,kn
आपका बिजली बिल ₹980 है। कृपया आधिकारिक पोर्टल से 10-सितंबर तक भुगतान करें।,0,hi
बड़े ट्रांजैक्शन रोक दिए गए हैं। सत्यापित करने हेतु बैंक को अपना OTP दें।,1,hi
आपको टैक्स रिफंड मिला है। राशि पाने के लिए बैंक विवरण शेयर करें।,1,hi
உங்கள் வாகன காப்பீடு புதுப்பிக்கப்பட்டது.,0,ta
మీ తక్కువ ఉపయోగ డేటా అప్డేట్ గురించి నోటిఫికేషన్ వచ్చింది.,0,te
"प्रिय अभिभावक, 5 सितंबर को पाठक-पालक बैठक सुबह 10 बजे है।",0,hi
ఫ్రాడ్ గుర్తింపు కోసం మీ పాన్ నంబర్ ఇవ్వండి.,1,te
প্রাইজ কালেক্ট করতে আপনার ব্যক্তিগত তথ্য দিন।,1,bn
"आपका मेडिकल रिपोर्ट तैयार है, कृपया अस्पताल पोर्टल से देखें।",0,hi
নিরাপত্তা নোট: কোনোওকে OTP বা পাসওয়ার্ড দেবেন না।,0,bn
आपके स्कूल का होमवर्क पोर्टल अपडेट हो गया है — जाँच करें।,0,hi
ನಿಮ್ಮ ಆನ್ಲೈನ್ ಪರ್ವತ ನೋಂದಾಯಿಸಲು ಖಾತೆ ವಿವರ ಹಂಚಿಕೊಳ್ಳಿ.,1,kn
ನಿಮ್ಮ স্কুলದ ಪೋಷಕರ-ಶಿಕ್ಷಕರ ಸಭೆ 5 ಸೆಪ್ಟೆಂಬರ್ ಬೆಳಿಗ್ಗೆ 9ಕ್ಕೆ ಉಂಟೆ.,0,kn
